UserId,Tag Name,Count
3965,.net,12
3965,3d,1
3965,abstract-class,2
3965,abstraction,4
3965,acceptance-testing,2
3965,actionscript,1
3965,actor-model,2
3965,ada,1
3965,advancements,1
3965,advocacy,1
3965,agile,30
3965,ajax,2
3965,akka,2
3965,algorithm-analysis,2
3965,algorithms,47
3965,allocation,1
3965,analysis,1
3965,android,7
3965,android-development,1
3965,angularjs,2
3965,anti-patterns,9
3965,api,11
3965,api-design,3
3965,applications,1
3965,architect,1
3965,architectural-patterns,1
3965,architecture,23
3965,arm,1
3965,array,4
3965,artificial-intelligence,1
3965,asp.net,2
3965,asp.net-mvc,2
3965,asp.net-mvc-3,1
3965,asp.net-mvc-4,1
3965,assembly,4
3965,assertions,2
3965,async,2
3965,asynchronous-programming,4
3965,attributes,1
3965,authentication,2
3965,auto-completion,1
3965,automatic-programming,1
3965,automation,4
3965,backward-compatibility,2
3965,bad-code,2
3965,big-o,1
3965,binary,4
3965,binary-tree,1
3965,binding,1
3965,bit,1
3965,bitwise-operators,3
3965,blogs,1
3965,books,1
3965,boost,1
3965,boxing,1
3965,branching,11
3965,brookslaw,1
3965,browser,1
3965,bug,12
3965,bug-report,2
3965,business,5
3965,business-analysis,1
3965,byte,2
3965,c,28
3965,c#,47
3965,c++,59
3965,c++11,3
3965,caching,1
3965,career-development,14
3965,career-transition,3
3965,case-studies,1
3965,change,1
3965,changes,1
3965,clang,1
3965,class,3
3965,class-design,5
3965,clean-code,7
3965,cli,1
3965,client-relations,1
3965,clojure,4
3965,closed-source,2
3965,closures,2
3965,cloud-computing,1
3965,cmmi,1
3965,cms,2
3965,co-workers,2
3965,code-complete,1
3965,code-formatting,4
3965,code-generation,2
3965,code-metrics,1
3965,code-organization,3
3965,code-ownership,2
3965,code-quality,24
3965,code-reuse,3
3965,code-reviews,10
3965,code-smell,7
3965,code-snippets,1
3965,code-style,2
3965,coding,3
3965,coding-standards,4
3965,coding-style,23
3965,coffeescript,1
3965,collaboration,1
3965,collections,4
3965,college,2
3965,command-line,3
3965,comments,6
3965,commercial,3
3965,common-lisp,1
3965,communication,7
3965,comparison,1
3965,compatibility,1
3965,competition,1
3965,compiler,1
3965,compilers,13
3965,complexity,4
3965,composition,3
3965,compression,1
3965,computer,1
3965,computer-architecture,1
3965,computer-science,6
3965,concentration,1
3965,concepts,5
3965,concurrency,2
3965,conditions,7
3965,configuration,1
3965,configuration-management,1
3965,considered-harmful,1
3965,const,1
3965,construction,1
3965,constructors,2
3965,contests,1
3965,continuous-integration,3
3965,contract,1
3965,contribution,1
3965,conventions,2
3965,copy-paste-programming,1
3965,copyright,2
3965,corporate-culture,2
3965,cost-estimation,1
3965,coupling,6
3965,cowboy-coding,1
3965,cpu,1
3965,cqrs,1
3965,creativity,1
3965,crm,1
3965,cross-platform,1
3965,culture,4
3965,customer-relations,1
3965,cvcs,2
3965,cyclomatic-complexity,1
3965,data,3
3965,data-structures,8
3965,data-types,6
3965,database,7
3965,database-design,5
3965,database-development,2
3965,dataflow,1
3965,date-patterns,2
3965,deadlines,1
3965,debugging,12
3965,decisions,1
3965,declarations,1
3965,declarative-programming,1
3965,default-values,1
3965,defensive-programming,1
3965,definition,3
3965,degree,1
3965,delegation,1
3965,delphi,2
3965,dependencies,1
3965,dependency-injection,3
3965,dependency-management,1
3965,deployment,1
3965,design,70
3965,design-patterns,50
3965,design-principles,1
3965,desktop-application,1
3965,desktop-development,1
3965,developer-tools,2
3965,development-environment,2
3965,development-methodologies,4
3965,development-process,19
3965,distributed-development,1
3965,distribution,1
3965,dll,1
3965,documentation,10
3965,dogfooding,1
3965,domain-driven-design,1
3965,domain-model,2
3965,domain-specific-languages,1
3965,drivers,1
3965,drupal,1
3965,dry,3
3965,dsl,6
3965,duck-typing,2
3965,dvcs,10
3965,dynamic-typing,2
3965,e-commerce,1
3965,eclipse,1
3965,ecosystem,1
3965,education,11
3965,efficiency,10
3965,emacs,3
3965,embedded,1
3965,employee-relations,1
3965,employers,1
3965,employment,1
3965,encapsulation,6
3965,encryption,1
3965,end-users,1
3965,engineering,2
3965,enterprise-architecture,1
3965,enterprise-development,1
3965,enum,1
3965,erlang,2
3965,erp,1
3965,error-handling,5
3965,error-messages,1
3965,errors,2
3965,estimation,3
3965,ethics,5
3965,etiquette,2
3965,evaluation,1
3965,event-programming,3
3965,evidence-based,1
3965,examples,2
3965,excel,1
3965,exception-handling,7
3965,exceptions,8
3965,experience,6
3965,explanation,1
3965,extreme-programming,1
3965,f#,3
3965,factory-method,1
3965,failure,1
3965,features,1
3965,file-handling,2
3965,file-structure,3
3965,file-systems,2
3965,files,1
3965,financial,2
3965,finite-state-machine,2
3965,float,2
3965,floating-point,1
3965,focus,1
3965,forking,3
3965,formal-methods,1
3965,frameworks,4
3965,freelancing,2
3965,functional-programming,29
3965,functions,9
3965,future-development,1
3965,game-development,1
3965,generalization,1
3965,generics,4
3965,genetic-algorithms,1
3965,geometry,1
3965,geospatial,2
3965,git,39
3965,gitflow,4
3965,github,7
3965,globals,1
3965,go,1
3965,goto,1
3965,gpl,4
3965,grammar,2
3965,graph,3
3965,graph-traversal,4
3965,graphics,3
3965,gui,3
3965,hacking,1
3965,hardware,6
3965,haskell,4
3965,heap,1
3965,high-level,2
3965,hiring,5
3965,history,10
3965,html,1
